"abstract_base:health","abstract_base:generateRate","abstract_tower:health","cost(abstract_tower):energy","abstract_tower:expandRate","abstract_soldier:health","abstract_soldier:movement","abstract_soldier:atkMelee","cost(abstract_soldier):energy","abstract_civilian:health","abstract_civilian:movement","cost(abstract_civilian):energy",fitness
5,8,2,3,74,4,4,4,41,5,2,12,10.0
8,11,1,4,32,3,5,1,44,1,5,10,8.0
8,3,1,2,64,1,4,1,48,1,4,11,10.0
8,10,1,2,64,1,3,3,31,2,4,16,10.0
6,7,2,3,49,4,5,3,44,5,5,18,10.0
5,8,2,5,97,4,5,3,29,5,5,17,10.0
10,9,1,4,34,4,5,5,44,1,5,13,10.0
9,3,2,2,86,1,2,5,38,1,2,14,10.0
8,12,1,3,32,3,5,4,44,1,5,10,10.0
9,9,2,4,32,5,5,1,44,1,2,10,10.0
6,9,1,1,19,5,3,1,47,1,4,18,10.0
10,5,1,2,88,2,4,4,25,5,4,19,10.0
10,11,2,2,32,3,2,2,44,1,2,13,9.0
10,11,2,4,32,3,2,1,44,1,2,13,12.0
8,14,1,3,92,3,4,2,25,4,5,14,10.0
8,3,2,2,66,4,3,5,26,2,2,11,10.0
6,14,2,3,92,3,4,2,25,4,4,14,10.0
6,9,1,1,19,1,3,1,47,1,4,18,10.0
7,12,2,5,97,3,5,3,29,1,5,14,10.0
8,10,1,5,21,3,3,5,22,4,4,19,9.0
8,3,2,2,64,1,4,5,48,1,4,11,10.0
8,11,2,4,32,3,5,1,44,1,2,10,10.0
10,3,1,4,64,1,4,5,48,3,4,11,9.0
5,7,2,5,97,4,5,3,29,5,5,17,10.0
7,14,1,1,19,5,3,1,47,1,5,19,10.0
8,2,1,2,76,4,3,5,42,5,5,18,10.0
10,11,2,4,32,1,2,1,44,1,2,13,10.0
5,10,1,1,45,3,3,4,27,2,2,13,7.0
5,7,2,3,49,5,5,3,44,5,4,20,1.0
6,9,2,4,46,2,5,1,44,3,2,10,1.0
6,3,1,2,86,1,2,5,38,1,5,14,10.0
5,14,1,5,87,1,2,5,41,1,2,15,10.0
6,11,2,4,17,2,4,1,35,4,3,11,4.0
6,7,2,3,49,4,5,3,44,5,5,10,10.0
5,12,1,3,96,3,3,2,29,3,4,16,8.0
8,6,1,4,32,3,4,1,39,5,5,13,10.0
8,3,1,3,49,1,2,5,38,1,4,14,10.0
6,13,1,2,19,1,3,1,47,1,4,18,10.0
6,3,1,2,24,2,5,1,32,2,5,11,10.0
10,3,1,1,32,1,2,5,38,1,3,14,10.0
8,9,1,3,54,2,5,1,44,1,2,10,8.0
5,7,2,3,49,5,5,2,44,5,5,12,10.0
6,12,1,1,39,2,5,1,47,1,4,10,10.0
5,11,2,5,97,5,3,3,39,5,5,12,10.0
10,11,2,4,32,3,2,1,44,1,2,13,10.0
8,3,1,1,86,1,2,5,38,1,4,14,10.0
9,12,2,4,32,3,2,5,44,1,2,13,7.0
5,7,2,3,49,5,5,3,44,5,5,10,10.0
5,11,2,4,32,3,5,1,44,1,2,10,9.0
7,12,1,3,88,5,4,4,36,5,3,16,10.0
5,7,2,3,49,4,5,3,44,5,5,20,10.0
5,11,2,1,53,5,3,1,48,4,3,14,9.0
6,6,2,3,38,2,3,3,41,3,2,20,9.0
8,3,1,1,32,1,2,5,38,1,4,14,10.0
8,12,1,4,32,3,5,1,42,3,5,13,10.0
9,7,1,3,99,4,5,4,24,2,4,16,10.0
8,14,1,3,92,3,2,3,25,4,5,14,10.0
8,4,1,2,64,5,5,5,48,4,4,11,10.0
5,8,2,3,15,5,5,2,34,5,5,16,10.0
8,9,1,4,32,3,5,1,44,3,3,13,8.0
5,7,2,3,49,5,5,3,44,5,5,10,10.0
6,6,1,1,19,3,4,1,24,1,4,19,10.0
9,7,2,3,63,5,4,5,24,3,4,16,10.0
5,11,2,5,97,5,5,3,29,5,5,14,10.0
8,3,1,2,39,3,4,1,48,1,4,19,10.0
6,11,2,3,34,5,2,2,41,2,5,16,6.0
10,3,1,2,64,1,4,5,48,1,2,20,10.0
10,9,2,4,32,2,5,1,44,3,2,16,10.0
5,8,2,3,74,4,4,4,41,5,2,12,10.0
8,11,2,3,32,3,5,1,44,1,5,10,10.0
8,2,1,4,32,3,5,1,39,3,5,13,10.0
8,3,1,4,64,1,4,5,48,1,4,11,10.0
8,3,1,2,64,1,4,5,48,1,4,11,10.0
8,3,1,2,64,1,4,5,48,1,4,11,10.0
9,7,2,3,99,5,4,5,24,3,4,16,10.0
5,3,1,2,31,1,4,5,46,5,4,11,10.0
8,9,1,4,32,3,5,1,44,3,5,13,10.0
8,9,1,2,32,3,5,1,44,3,5,13,10.0
8,4,1,2,64,5,5,5,33,2,4,11,9.0
8,9,1,4,32,2,5,1,44,3,2,10,10.0
7,14,1,1,19,3,3,1,47,1,5,19,10.0
10,9,2,4,34,4,4,3,22,1,5,13,10.0
10,5,1,2,88,2,4,4,25,5,4,19,10.0
5,3,1,2,87,1,2,5,41,1,2,12,10.0
5,15,2,4,49,5,2,5,29,1,2,15,10.0
8,3,1,2,86,1,2,5,38,1,2,14,10.0
5,3,2,3,66,1,3,1,23,2,2,11,10.0
8,10,1,2,64,4,3,3,31,4,4,16,9.0
6,9,1,1,19,1,3,1,47,1,4,10,10.0
8,3,1,1,86,1,2,5,38,1,4,14,4.0
10,5,1,2,88,2,2,4,25,5,4,19,10.0
10,5,1,2,88,2,2,4,25,5,5,19,10.0
8,11,2,5,16,3,5,1,44,1,5,13,10.0
8,10,1,2,64,1,3,3,31,4,4,16,10.0
6,9,1,4,32,2,5,1,44,3,2,10,10.0
6,3,2,1,86,1,2,5,38,1,5,14,10.0
10,11,2,4,32,5,2,1,23,5,2,13,9.0
5,7,2,5,97,4,5,3,29,5,5,17,10.0
10,9,1,4,34,4,5,1,44,1,5,13,10.0
